XDAC V1.4 Datafile V1
"MMCBr1_100.002" created on 11/18/2012 at 9:48:15 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 13474.00
NUM_REGIONS= 6
SRB= -100 -30 -15 10 30 50 200
SRSS= 5 .5 .25 .5 1 5
SPP= 1 1 1 1 1 1
Settling time= 0.20


Offsets= 110.75 66.00 0.00 0.00 0.00 0.00 0.00 9.50 6.00 15.00 0.00 12.75 5.75 12.25 88.75 0.00
Gains= 8.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.00 1.00
oaks + Fe + Br- + H2O2 rinsed a lot


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
   13472.74944    24525.2500    11503.0000    10404.0000    40188.0000    15720.0000    14006.0000   160545.0000   201278.5000   201005.0000   192871.0000   200790.0000   225414.2500   222825.2500   215807.7500    12752.2500        1.0000
   13473.00244    24518.2500    11503.0000    10335.0000    39982.0000    15316.0000    13580.0000   160971.0000   200443.5000   199586.0000   192090.0000   200998.0000   224212.2500   221297.2500   214669.7500    12615.2500        1.0000
   13473.24878    24508.2500    11498.0000    10002.0000    40162.0000    14935.0000    13146.0000   160543.0000   200368.5000   199862.0000   191038.0000   200799.0000   224105.2500   221344.2500   213307.7500    12605.2500        1.0000
   13473.50179    24484.2500    11489.0000     9726.0000    40058.0000    14445.0000    13015.0000   159779.0000   199802.5000   199783.0000   191637.0000   199506.0000   223279.2500   221586.2500   214383.7500    12660.2500        1.0000
   13473.74814    24492.2500    11494.0000     9333.0000    40145.0000    13832.0000    12463.0000   159965.0000   200118.5000   198772.0000   190519.0000   199501.0000   223779.2500   220162.2500   212984.7500    12831.2500        1.0000
   13474.00115    24399.2500    11453.0000     8849.0000    39901.0000    13104.0000    11634.0000   158479.0000   198191.5000   197053.0000   189708.0000   197633.0000   221342.2500   217846.2500   211538.7500    13014.2500        1.0000
   13474.24750    24400.2500    11454.0000     8719.0000    40066.0000    12700.0000    11436.0000   158692.0000   198862.5000   197046.0000   188942.0000   197429.0000   222417.2500   217924.2500   210902.7500    13217.2500        1.0000
   13474.50051    24478.2500    11491.0000     8645.0000    39881.0000    12428.0000    11519.0000   159384.0000   198674.5000   196822.0000   189362.0000   198364.0000   222003.2500   217781.2500   211187.7500    13517.2500        1.0000
   13474.74686    24486.2500    11495.0000     8730.0000    39753.0000    12688.0000    11359.0000   159634.0000   198569.5000   196673.0000   190094.0000   198940.0000   222171.2500   217847.2500   212181.7500    13652.2500        1.0000
   13474.99987    24489.2500    11498.0000     8691.0000    39610.0000    12646.0000    11305.0000   159744.0000   199057.5000   197115.0000   189556.0000   199285.0000   222632.2500   218027.2500   211666.7500    13786.2500        1.0000
   13475.25288    24496.2500    11501.0000     8969.0000    40119.0000    12952.0000    11713.0000   159346.0000   199180.5000   198132.0000   189968.0000   198526.0000   222493.2500   219380.2500   211888.7500    13888.2500        1.0000
